event_id,policy_type,event_date,window,car,t_stat,p_value,n_obs_estimation
MP-2014-001,mp_rate_cut,2014-11-21,-1...+5,-0.0628,-22.11,1.0,85
MP-2015-001,mp_rate_cut,2015-03-02,-1...+5,0.0486,15.368,0.0,85
MP-2015-002,mp_rate_cut,2015-03-02,-1...+5,0.0486,15.368,0.0,85
MP-2015-003,mp_rrr_cut,2015-04-20,-1...+5,0.0269,4.805,0.0,85
MP-2015-004,mp_rrr_cut,2015-06-29,-1...+5,-0.2851,-27.992,1.0,85
MP-2015-005,mp_rrr_cut,2015-08-25,-1...+5,-0.1318,-12.746,1.0,85
MP-2015-006,mp_rrr_cut+broad,2015-10-23,-1...+5,0.0411,11.033,0.0,81
MP-2017-001,mp_lpr_cut,2017-01-24,-1...+5,0.0117,8.001,0.0,85
MP-2018-001,mp_rrr_cut,2018-04-17,-1...+5,-0.001,-0.338,0.6322,85
MP-2018-002,mp_rrr_cut,2018-10-08,-1...+5,-0.0086,-2.082,0.9813,85
MP-2019-001,mp_rrr_cut,2019-01-04,-1...+5,0.0117,5.308,0.0,85
MP-2019-002,mp_rrr_cut,2019-09-16,-1...+5,0.0085,6.736,0.0,85
MP-2020-001,mp_rrr_cut,2020-01-06,-1...+5,0.0214,19.967,0.0,85
MP-2020-002,mp_rrr_cut,2020-03-13,-1...+5,0.0269,8.962,0.0,85
MP-2020-003,mp_lpr_cut,2020-04-15,-1...+5,-0.0009,-0.549,0.7086,85
MP-2021-001,mp_rrr_cut,2021-07-15,-1...+5,-0.002,-0.808,0.7904,85
MP-2021-002,mp_rrr_cut,2021-12-15,-1...+5,0.0291,22.732,0.0,85
MP-2022-001,mp_rrr_cut,2022-04-15,-1...+5,-0.0242,-6.121,1.0,85
MP-2022-002,mp_rrr_cut,2022-11-25,-1...+5,-0.004,-1.233,0.8913,85
MP-2023-001,mp_rrr_cut,2023-03-17,-1...+5,0.0105,5.116,0.0,85
MP-2023-002,mp_rrr_cut,2023-09-14,-1...+5,-0.0219,-9.768,1.0,85
MP-2024-001,mp_lpr_cut,2024-02-05,-1...+5,-0.0805,-5.416,1.0,85
MP-2024-002,mp_rrr_cut,2024-09-27,-1...+5,-0.0549,-6.959,1.0,85
MP-2024-003,mp_lpr_cut,2024-10-18,-1...+5,0.0254,6.506,0.0,85
TAX-2023-001,tax_change,2023-08-28,-1...+5,0.0144,3.248,0.0012,85
IPO-2015-001,ipo_suspend,2015-07-06,-1...+5,-0.0551,-2.366,0.991,85
IPO-2015-002,ipo_resume,2015-11-06,-1...+5,0.0031,0.612,0.7297,81
IND-2014-001,industry_plan,2014-06-24,-1...+5,0.0372,23.133,0.0,78
IND-2015-001,industry_plan,2015-05-08,-1...+5,0.0716,12.537,0.0,85
IND-2017-001,industry_plan,2017-09-27,-1...+5,0.012,6.441,0.0,85
IND-2020-001,industry_plan,2020-09-22,-1...+5,-0.0173,-6.273,1.0,85
IND-2021-001,industry_plan,2021-03-11,-1...+5,0.0115,4.515,0.0,85
