event_id,event_date,policy_type,scope,description,t0,status,n_total,n_est_valid,n_stocks_min,n_obs_est,car,t_stat,p_value,car_-1_1,car_-1_5,car_-5_5,car_-5_20
MP-2014-001,2014-11-21,mp_rate_cut,broad,央行下调一年期贷款基准利率0.4个百分点至5.6%；下调一年期存款基准利率0.25个百分点至2.75%,2014-11-21,OK,4871,1729,1729.0,85.0,-0.06283195669909086,-22.109992530391946,1.0,-0.01947669,-0.06283196,-0.03529983,-0.22049437
MP-2015-001,2015-02-28,mp_rate_cut,broad,央行下调一年期贷款基准利率0.25个百分点至5.35%；一年期存款基准利率0.25个百分点至2.5%,2015-03-02,OK,4871,1704,1704.0,85.0,0.04864487247119954,15.367860504874068,0.0,0.03054183,0.04864487,0.06689074,0.14779545
MP-2015-002,2015-03-01,mp_rate_cut,broad,央行下调一年期贷款基准利率0.25个百分点至5.1%,2015-03-02,OK,4871,1704,1704.0,85.0,0.04864487247119954,15.367860504874068,0.0,0.03054183,0.04864487,0.06689074,0.14779545
MP-2015-003,2015-04-19,mp_rrr_cut,broad,央行下调存款准备金率1个百分点,2015-04-20,OK,4871,1608,1608.0,85.0,0.02691647421863453,4.805425009862214,7.721155571571714e-07,0.00891022,0.02691647,0.00281032,0.0979677
MP-2015-004,2015-06-27,mp_rrr_cut,broad,央行下调存款准备金率0.5个百分点（定向）,2015-06-29,OK,4871,980,980.0,85.0,-0.28507419001630024,-27.9924284901199,1.0,-0.081906,-0.28507419,-0.34038292,-0.27649567
MP-2015-005,2015-08-25,mp_rrr_cut,broad,央行下调存款准备金率0.5个百分点,2015-08-25,OK,4871,1721,1721.0,85.0,-0.1318187936453315,-12.74572019114567,1.0,-0.04471889,-0.13181879,-0.16063303,-0.08385445
MP-2015-006,2015-10-23,mp_rrr_cut+broad,broad,央行下调一年期贷款基准利率0.25个百分点 同时下调存款准备金率0.5个百分点,2015-10-23,OK,4871,1766,1766.0,81.0,0.04113148424366545,11.033244286751643,0.0,0.03997684,0.04113148,-0.00394875,-0.00858107
MP-2017-001,2017-01-24,mp_lpr_cut,narrow,MLF利率上调10bp（未跟随加息）,2017-01-24,OK,4871,2191,2191.0,85.0,0.01167293745870319,8.00135839709057,6.661338147750939e-16,-0.00113321,0.01167294,0.02166135,0.01541654
MP-2018-001,2018-04-17,mp_rrr_cut,broad,央行下调大型存款类金融机构存款准备金率1个百分点,2018-04-17,OK,4871,2696,2696.0,85.0,-0.0009900147922709407,-0.33758662649908083,0.6321626391825179,0.00949651,-0.00099001,0.00101951,0.03539081
MP-2018-002,2018-10-07,mp_rrr_cut,broad,央行下调存款准备金率1个百分点,2018-10-08,OK,4871,2935,2935.0,85.0,-0.0086357539061818,-2.0823985241840948,0.9813469584278407,0.01286126,-0.00863575,-0.03858185,-0.0054819
MP-2019-001,2019-01-04,mp_rrr_cut,broad,央行下调金融机构存款准备金率0.5个百分点,2019-01-04,OK,4871,3061,3061.0,85.0,0.01173629842672552,5.307801928938067,5.5477558436045626e-08,0.01035,0.0117363,0.01111929,-0.04737732
MP-2019-002,2019-09-16,mp_rrr_cut,broad,央行下调金融机构存款准备金率0.5个百分点（全面+定向）,2019-09-16,OK,4871,3164,3164.0,85.0,0.008494829686664235,6.735848360546758,8.148814956143724e-12,0.00144416,0.00849483,0.02114978,0.00388561
MP-2020-001,2020-01-06,mp_rrr_cut,broad,央行下调金融机构存款准备金率0.5个百分点,2020-01-06,OK,4871,3241,3241.0,85.0,0.021351407335156083,19.96653704947785,0.0,0.01630818,0.02135141,0.01115505,0.03109244
MP-2020-002,2020-03-13,mp_rrr_cut,broad,央行实施普惠金融定向降准0.5-1.5个百分点,2020-03-13,OK,4871,3292,3292.0,85.0,0.026923806894104677,8.96155510994011,0.0,0.00507278,0.02692381,0.04363424,0.01211904
MP-2020-003,2020-04-15,mp_lpr_cut,narrow,1年期LPR下调20bp至3.85%,2020-04-15,OK,4871,3250,3250.0,85.0,-0.0009374593922960074,-0.5493977861619658,0.7086337534827547,-0.00249775,-0.00093746,-0.00829567,-0.04077173
MP-2021-001,2021-07-15,mp_rrr_cut,broad,央行下调金融机构存款准备金率0.5个百分点,2021-07-15,OK,4871,3820,3820.0,85.0,-0.002015643105244116,-0.8079665122500566,0.7904450698775963,-0.01266447,-0.00201564,0.01230774,0.02584505
MP-2021-002,2021-12-15,mp_rrr_cut,broad,央行下调金融机构存款准备金率0.5个百分点,2021-12-15,OK,4871,4032,4032.0,85.0,0.02907378490455062,22.73205843814643,0.0,0.01588939,0.02907378,0.0317814,0.04699499
MP-2022-001,2022-04-15,mp_rrr_cut,broad,央行下调金融机构存款准备金率0.25个百分点,2022-04-15,OK,4871,4140,4140.0,85.0,-0.02418527778295398,-6.120880782019457,0.9999999995347024,-0.00503737,-0.02418528,-0.048958,-0.0483581
MP-2022-002,2022-11-25,mp_rrr_cut,broad,央行下调存款准备金率0.25个百分点（全面）,2022-11-25,OK,4871,4380,4380.0,85.0,-0.004002952304433828,-1.2334056805165998,0.891287776640998,-0.00453012,-0.00400295,-0.02089133,-0.05438961
MP-2023-001,2023-03-17,mp_rrr_cut,broad,央行下调金融机构存款准备金率0.25个百分点,2023-03-17,OK,4871,4515,4515.0,85.0,0.010503123535006171,5.115653775686071,1.563280518368515e-07,-0.0025414,0.01050312,0.00028927,-0.03473927
MP-2023-002,2023-09-14,mp_rrr_cut,broad,央行下调金融机构存款准备金率0.25个百分点,2023-09-14,OK,4871,4657,4657.0,85.0,-0.02185374261270079,-9.768362229087817,1.0,-0.01232928,-0.02185374,-0.0224878,-0.02219805
MP-2024-001,2024-02-05,mp_lpr_cut,narrow,5年期以上LPR下调25bp至3.95%,2024-02-05,OK,4871,4764,4764.0,85.0,-0.08049745134755296,-5.416429638247138,0.9999999695995494,-0.11511298,-0.08049745,-0.15079621,-0.10205078
MP-2024-002,2024-09-27,mp_rrr_cut,broad,央行下调金融机构存款准备金率0.5个百分点,2024-09-27,OK,4871,4791,4791.0,85.0,-0.05493773957954617,-6.958802447229399,0.9999999999982842,-0.06268225,-0.05493774,-0.10954564,-0.05663123
MP-2024-003,2024-10-18,mp_lpr_cut,narrow,1年期LPR下调25bp至3.10%；5年期以上LPR下调25bp至3.60%,2024-10-18,OK,4871,4786,4786.0,85.0,0.025418825621517885,6.505707506248921,3.8664293988688314e-11,0.01153247,0.02541883,0.05051056,0.06285678
TAX-2008-001,2008-09-19,tax_change,broad,印花税从双边征收改为单边征收（卖出方收取1‰）,2008-09-19,样本不足,4871,0,,,,,,,,,
TAX-2023-001,2023-08-27,tax_change,broad,证券交易印花税减半（从1‰降至0.5‰）,2023-08-28,OK,4871,4643,4643.0,85.0,0.014431828619547395,3.2481137739059736,0.0011617280769216087,0.00963415,0.01443183,0.0063495,-0.00376122
IPO-2012-001,2012-11-16,ipo_suspend,broad,证监会暂停IPO,2012-11-16,样本不足,4871,0,,,,,,,,,
IPO-2013-001,2013-12-30,ipo_resume,broad,证监会恢复IPO,2013-12-30,样本不足,4871,0,,,,,,,,,
IPO-2015-001,2015-07-04,ipo_suspend,broad,证监会暂停IPO,2015-07-06,OK,4871,984,984.0,85.0,-0.055120453094977984,-2.3661933525039682,0.9910139721900114,-0.19060117,-0.05512045,-0.19220214,-0.24751026
IPO-2015-002,2015-11-06,ipo_resume,broad,证监会重启IPO,2015-11-06,OK,4871,1793,1793.0,81.0,0.0031429088721019877,0.6118388553361932,0.7296778102942945,-0.02200934,0.00314291,0.00601862,0.02334179
IND-2014-001,2014-06-24,industry_plan,tech,《国家集成电路产业发展推进纲要》,2014-06-24,OK,4871,1742,1742.0,78.0,0.03723537648045543,23.132836546119773,0.0,0.01382611,0.03723538,0.03542742,0.03928108
IND-2015-001,2015-05-08,industry_plan,mfg,《中国制造2025》,2015-05-08,OK,4871,1582,1582.0,85.0,0.07162730643203381,12.536579988456507,0.0,0.04623237,0.07162731,0.05742559,0.223313
IND-2017-001,2017-09-27,industry_plan,ev,双积分政策（新能源车）,2017-09-27,OK,4871,2532,2532.0,85.0,0.011988474103365745,6.441291560818047,5.923050938605456e-11,0.00700323,0.01198847,0.00763587,-0.01368779
IND-2020-001,2020-09-22,industry_plan,energy,3060双碳目标（2030碳达峰/2060碳中和）,2020-09-22,OK,4871,3402,3402.0,85.0,-0.01732916949470472,-6.273170446059342,0.9999999998231154,0.00516145,-0.01732917,-0.02636436,-0.02362144
IND-2021-001,2021-03-11,industry_plan,broad,十四五规划通过,2021-03-11,OK,4871,3646,3646.0,85.0,0.011539390646797973,4.515248124614244,3.1621336912257547e-06,-0.01197375,0.01153939,0.04944589,0.10846292
