code,total_reports,reports_with_eps,report_month_coverage,eps_month_coverage,first_report,last_report
300069,0,0,0.0,0.0,,
920943,7,6,0.16216216216216217,0.16216216216216217,2023-06-26,2026-04-29
920212,1,0,0.0,0.0,2023-06-15,2023-06-15
603559,0,0,0.0,0.0,,
001387,6,4,0.16216216216216217,0.10810810810810811,2023-12-25,2026-05-11
300240,2,0,0.0,0.0,2021-12-28,2022-05-06
603825,19,1,0.05405405405405406,0.02702702702702703,2017-07-13,2025-06-30
301030,22,1,0.10810810810810811,0.02702702702702703,2021-11-30,2024-04-29
300078,37,0,0.0,0.0,2017-07-04,2020-09-01
300500,0,0,0.0,0.0,,
300311,1,0,0.0,0.0,2018-08-29,2018-08-29
300711,3,2,0.05405405405405406,0.05405405405405406,2017-10-11,2025-08-21
688191,4,0,0.05405405405405406,0.0,2022-07-17,2024-03-15
603193,70,57,0.4864864864864865,0.32432432432432434,2022-07-12,2026-05-11
603330,3,0,0.0,0.0,2023-04-27,2023-06-14
688733,24,5,0.1891891891891892,0.10810810810810811,2021-11-12,2025-04-20
688711,25,6,0.1891891891891892,0.13513513513513514,2021-11-23,2025-04-18
601686,6,3,0.10810810810810811,0.08108108108108109,2022-09-08,2025-08-19
605333,63,36,0.5945945945945946,0.4594594594594595,2020-07-08,2026-05-19
603163,10,6,0.16216216216216217,0.13513513513513514,2022-11-15,2026-05-12
001301,60,37,0.4864864864864865,0.40540540540540543,2022-11-21,2026-04-30
002364,16,10,0.24324324324324326,0.24324324324324326,2017-05-15,2026-05-06
600369,3,0,0.0,0.0,2017-04-14,2019-08-30
688548,27,20,0.4864864864864865,0.43243243243243246,2023-07-28,2026-07-03
301666,1,0,0.02702702702702703,0.0,2026-04-01,2026-04-01
600986,34,4,0.1891891891891892,0.08108108108108109,2017-08-22,2025-08-31
300990,16,8,0.24324324324324326,0.1891891891891892,2022-06-29,2026-04-30
601101,25,18,0.3783783783783784,0.32432432432432434,2018-08-22,2026-08-10
300957,232,41,0.40540540540540543,0.2972972972972973,2021-03-08,2026-04-30
603031,10,10,0.1891891891891892,0.1891891891891892,2025-08-13,2026-07-14
